Customer ID,Gender,Age,Married,Number of Dependents,City,Zip Code,Latitude,Longitude,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Customer Status,Churn Category,Churn Reason
2919-HBCJO,Female,36,No,0,Downieville,95936,39.578792,-120.780786,0,4,None,Yes,24.09,No,Yes,Fiber Optic,17,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,76.65,333.6,0,0,96.36,429.96,0,Other,Moved
2929-ERCFZ,Female,22,Yes,0,Independence,93526,36.869584,-118.189241,1,8,Offer E,Yes,38.83,No,Yes,Fiber Optic,76,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,94.2,777.3,0,0,310.64,1087.94,0,Competitor,Competitor had better devices
2929-QNSRW,Female,21,Yes,0,San Diego,92130,32.957195,-117.202542,1,56,None,Yes,19.16,Yes,Yes,Fiber Optic,48,No,Yes,No,No,Yes,Yes,Yes,No,One Year,Yes,Bank Withdrawal,98.25,5508.35,0,150,1072.96,6731.31,0,Competitor,Competitor made better offer
2930-UOTMB,Female,29,No,0,Riverside,92506,33.930931,-117.361788,0,31,Offer C,Yes,31.14,Yes,Yes,Cable,52,Yes,No,Yes,Yes,No,No,No,No,Month-to-Month,No,Credit Card,65.25,1994.3,0,120,965.34,3079.64,0,Competitor,Competitor offered higher download speeds
2933-FILNV,Female,53,Yes,3,Carlsbad,92009,33.098018,-117.258203,0,2,None,No,,,Yes,DSL,52,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,24.4,36.55,0,0,0,36.55,0,Dissatisfaction,Lack of self-service on Website
2947-DOMLJ,Male,47,No,2,Buena Park,90621,33.874224,-117.993368,0,1,None,Yes,11.86,No,Yes,Cable,13,Yes,No,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card,50.6,50.6,0,0,11.86,62.46,0,Dissatisfaction,Service dissatisfaction
2951-QOQTK,Male,28,No,0,Sacramento,95815,38.608405,-121.449942,0,4,None,Yes,42.33,Yes,Yes,Fiber Optic,76,No,No,No,Yes,No,No,Yes,Yes,Month-to-Month,No,Credit Card,80.8,332.45,0,0,169.32,501.77,0,Competitor,Competitor offered higher download speeds
2952-QAYZF,Male,30,No,0,Sacramento,95828,38.486938,-121.395805,0,5,None,Yes,36.52,Yes,Yes,Fiber Optic,27,No,Yes,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,85.3,424.15,0,0,182.6,606.75,0,Competitor,Competitor had better devices
2955-BJZHG,Male,41,Yes,0,Apple Valley,92308,34.424926,-117.184503,1,17,None,Yes,16.61,No,Yes,Fiber Optic,3,No,No,No,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,80.85,1400.85,0,0,282.37,1683.22,0,Competitor,Competitor had better devices
2955-PSXOE,Female,48,No,0,Topanga,90290,34.115192,-118.61017,0,1,None,Yes,43.52,No,No,,,,,,,,,,,Month-to-Month,Yes,Bank Withdrawal,20.2,20.2,0,0,43.52,63.72,0,Price,Price too high
2956-GGUCQ,Male,71,Yes,0,Pioneer,95666,38.546999,-120.271114,1,24,None,Yes,2.05,Yes,Yes,Fiber Optic,22,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,78.85,1772.25,0,0,49.2,1821.45,0,Attitude,Attitude of service provider
2957-LOLHO,Male,49,No,0,Fallbrook,92028,33.362575,-117.299644,0,12,None,Yes,11.12,No,Yes,DSL,14,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,45.4,518.9,0,0,133.44,652.34,0,Competitor,Competitor made better offer
2959-MJHIC,Male,60,Yes,0,Hinkley,92347,34.983808,-117.239306,3,4,None,Yes,32.43,No,Yes,Fiber Optic,13,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,80.35,307.4,0,0,129.72,437.12,0,Dissatisfaction,Product dissatisfaction
2962-XPMCQ,Male,56,No,0,Sacramento,95828,38.486938,-121.395805,0,2,Offer E,Yes,6.47,No,Yes,DSL,21,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,45.15,98.5,0,0,12.94,111.44,0,Competitor,Competitor offered higher download speeds
2968-SSGAA,Female,41,No,0,San Francisco,94117,37.770533,-122.445121,0,10,None,Yes,45.21,Yes,Yes,Fiber Optic,3,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,100.6,1060.2,0,0,452.1,1512.3,0,Competitor,Competitor offered more data
2979-SXESE,Female,57,Yes,0,Berkeley,94703,37.863843,-122.275684,1,17,Offer D,Yes,25.79,Yes,Yes,Cable,12,Yes,No,Yes,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,94.4,1607.2,0,0,438.43,2045.63,0,Other,Moved
2982-IHMFT,Female,75,No,0,San Diego,92126,32.886925,-117.152162,0,1,None,Yes,39.61,Yes,Yes,Fiber Optic,16,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,74.45,74.45,0,0,39.61,114.06,0,Competitor,Competitor made better offer
2982-VPSGI,Female,64,Yes,0,South Pasadena,91030,34.110444,-118.156957,1,11,Offer D,Yes,25.67,Yes,Yes,Fiber Optic,18,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,94,1078.9,0,0,282.37,1361.27,0,Competitor,Competitor made better offer
2983-ZANRP,Female,27,Yes,0,La Puente,91744,34.031441,-117.936436,1,2,None,Yes,8.5,No,Yes,Fiber Optic,59,No,Yes,No,No,No,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,73.55,145.4,0,0,17,162.4,0,Competitor,Competitor had better devices
2984-MIIZL,Male,51,No,0,Guadalupe,93434,34.936,-120.594655,0,4,None,Yes,7.26,No,Yes,Fiber Optic,29,No,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.8,321.9,0,0,29.04,350.94,0,Dissatisfaction,Network reliability
2990-HWIML,Female,58,No,0,Ontario,91764,34.074087,-117.605618,0,6,Offer E,Yes,47.92,No,Yes,Fiber Optic,25,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,89.5,573.3,0,0,287.52,860.82,0,Competitor,Competitor had better devices
2995-UPRYS,Female,74,Yes,0,Long Beach,90802,33.752524,-118.210737,1,40,None,Yes,19.76,No,Yes,Fiber Optic,22,No,Yes,No,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Credit Card,99.2,4062.2,0,0,790.4,4852.6,0,Other,Moved
3001-CBHLQ,Male,76,Yes,0,Angels Camp,95222,38.071327,-120.632221,1,32,Offer C,Yes,43.51,Yes,Yes,Fiber Optic,22,No,No,Yes,Yes,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,104.9,3351.55,33.73,0,1392.32,4710.14,0,Attitude,Attitude of support person
3005-NFMTA,Male,73,No,0,Valencia,91354,34.457005,-118.573726,0,55,Offer B,Yes,8.93,Yes,Yes,Fiber Optic,21,Yes,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,98.8,5617.75,0,0,491.15,6108.9,0,Price,Price too high
3006-XIMLN,Female,34,No,0,Garden Valley,95633,38.852544,-120.837669,0,2,None,Yes,42.89,Yes,Yes,Fiber Optic,13,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,94.2,193.8,0,0,85.78,279.58,0,Dissatisfaction,Lack of self-service on Website
3009-JWMPU,Male,58,No,0,Five Points,93624,36.397745,-120.119911,0,62,Offer B,Yes,22.64,Yes,Yes,Fiber Optic,9,No,No,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,96.75,6125.4,0,0,1403.68,7529.08,0,Attitude,Attitude of service provider
3018-TFTSU,Male,44,No,0,Hathaway Pines,95233,38.184914,-120.364085,0,12,Offer D,Yes,18.38,No,Yes,Fiber Optic,3,Yes,No,Yes,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,81.7,858.6,0,0,220.56,1079.16,0,Dissatisfaction,Poor expertise of phone support
3023-GFLBR,Female,63,Yes,0,San Bernardino,92408,34.084909,-117.258107,1,33,None,Yes,14.34,Yes,Yes,Fiber Optic,28,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,No,Credit Card,86.15,2745.7,0,0,473.22,3218.92,0,Attitude,Attitude of service provider
3027-ZTDHO,Male,21,No,0,Fresno,93721,36.732694,-119.783786,0,1,Offer E,Yes,32.85,No,Yes,Fiber Optic,53,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,89.9,89.9,0,0,32.85,122.75,0,Other,Don't know
3030-YZADT,Male,57,No,0,Grass Valley,95949,39.099204,-121.137962,0,9,Offer E,Yes,2.88,No,Yes,DSL,26,No,No,No,No,No,No,No,No,Month-to-Month,No,Mailed Check,44.95,431,0,10,25.92,466.92,0,Competitor,Competitor had better devices
3034-ZBEQN,Female,31,Yes,0,La Puente,91746,34.038983,-117.991372,1,48,None,No,,,Yes,DSL,22,No,Yes,Yes,No,No,No,No,Yes,One Year,No,Mailed Check,34.7,1604.5,0,0,0,1604.5,0,Dissatisfaction,Product dissatisfaction
3045-XETSH,Female,34,No,0,Lake Hughes,93532,34.659579,-118.584212,0,10,None,Yes,43.26,Yes,Yes,Fiber Optic,21,No,Yes,Yes,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,94.85,953.45,0,0,432.6,1386.05,0,Competitor,Competitor offered more data
3049-NDXFL,Female,30,No,0,San Diego,92130,32.957195,-117.202542,0,1,Offer E,Yes,34.47,Yes,Yes,Fiber Optic,59,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,No,Credit Card,85.8,85.8,0,0,34.47,120.27,0,Competitor,Competitor made better offer
3049-SOLAY,Female,21,Yes,0,San Diego,92109,32.787836,-117.232376,5,3,None,Yes,23.26,Yes,Yes,Fiber Optic,42,No,No,No,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,95.2,292.85,0,20,69.78,382.63,0,Competitor,Competitor made better offer
3058-HJCUY,Male,36,Yes,0,Rancho Cordova,95742,38.591134,-121.161585,1,41,Offer B,Yes,45.03,Yes,Yes,Fiber Optic,10,No,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,102.6,4213.35,2.93,0,1846.23,6056.65,0,Competitor,Competitor had better devices
3063-QFSZL,Female,37,No,0,San Jose,95135,37.28682,-121.723877,0,1,Offer E,Yes,13.01,No,Yes,Cable,4,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,55.4,55.4,0,0,13.01,68.41,0,Competitor,Competitor had better devices
3066-RRJIO,Female,29,No,0,San Francisco,94132,37.722302,-122.491129,0,1,Offer E,Yes,13.04,No,Yes,Fiber Optic,46,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,69.95,69.95,0,0,13.04,82.99,0,Competitor,Competitor made better offer
3068-OMWZA,Male,77,No,0,Round Mountain,96084,40.923558,-122.059933,0,1,None,Yes,49.6,Yes,Yes,Fiber Optic,20,No,No,Yes,No,Yes,No,No,No,Month-to-Month,Yes,Bank Withdrawal,88.8,88.8,0,10,49.6,148.4,0,Competitor,Competitor made better offer
3070-DVEYC,Male,78,No,0,Williams,95987,39.117537,-122.284654,0,7,None,Yes,32.4,Yes,Yes,Fiber Optic,7,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card,73.75,545.15,0,0,226.8,771.95,0,Attitude,Attitude of support person
3074-GQWYX,Male,30,No,0,San Diego,92117,32.825086,-117.199424,0,5,None,Yes,46.88,Yes,Yes,Fiber Optic,59,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,75.9,357.75,0,0,234.4,592.15,0,Competitor,Competitor made better offer
3085-QUOZK,Female,55,No,0,Alpine,91901,32.827184,-116.703729,0,1,Offer E,Yes,34.48,No,Yes,Cable,9,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card,43.95,43.95,0,0,34.48,78.43,0,Attitude,Attitude of service provider
3090-HAWSU,Male,44,No,0,Pasadena,91107,34.159007,-118.087353,0,61,None,Yes,7.82,Yes,Yes,Fiber Optic,11,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,111.6,6876.05,0,0,477.02,7353.07,0,Competitor,Competitor offered more data
3091-FYHKI,Male,64,No,0,Harbor City,90710,33.798266,-118.300237,0,1,Offer E,No,,,Yes,DSL,22,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,35.45,35.45,0,0,0,35.45,0,Dissatisfaction,Network reliability
3092-IGHWF,Male,34,Yes,0,San Diego,92130,32.957195,-117.202542,1,67,Offer A,Yes,28.4,Yes,Yes,Cable,10,No,Yes,Yes,No,No,No,No,Yes,One Year,No,Bank Withdrawal,87.4,5918.8,0,0,1902.8,7821.6,0,Competitor,Competitor made better offer
3096-IZETN,Female,32,No,0,Lomita,90717,33.794209,-118.317354,0,12,Offer D,Yes,42.55,No,Yes,Fiber Optic,18,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,78.1,947.3,0,0,510.6,1457.9,0,Attitude,Attitude of support person
3096-JRDSO,Female,73,Yes,0,Fallbrook,92028,33.362575,-117.299644,5,27,Offer C,Yes,10.19,Yes,Yes,Fiber Optic,27,Yes,No,No,Yes,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,104.3,2867.75,0,0,275.13,3142.88,0,Competitor,Competitor made better offer
3097-NNSPB,Female,42,No,0,Valley Ford,94972,38.339996,-122.935056,0,2,Offer E,Yes,14.7,No,Yes,DSL,13,No,Yes,No,No,No,No,No,No,Month-to-Month,Yes,Credit Card,49.05,91.1,0,40,29.4,160.5,0,Competitor,Competitor had better devices
3097-NQYSN,Male,73,Yes,0,San Jose,95139,37.218705,-121.762429,3,2,None,Yes,4.19,Yes,Yes,Fiber Optic,11,No,No,No,No,Yes,No,No,No,Month-to-Month,Yes,Credit Card,86.85,156.35,0,40,8.38,204.73,0,Competitor,Competitor had better devices
3104-OWCGK,Male,21,Yes,0,South Dos Palos,93665,36.959731,-120.653519,1,60,Offer B,Yes,33.25,No,Yes,Fiber Optic,52,No,Yes,Yes,No,Yes,No,Yes,Yes,One Year,No,Bank Withdrawal,90.95,5453.4,0,0,1995,7448.4,0,Other,Moved
3106-ULWFW,Female,32,Yes,0,Fontana,92337,34.049671,-117.468896,0,8,Offer E,Yes,26.41,Yes,Yes,Fiber Optic,16,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,85.2,627.4,0,0,211.28,838.68,0,Competitor,Competitor had better devices
3132-TVFDZ,Male,70,Yes,0,Glendale,91202,34.167926,-118.267539,1,57,None,No,,,Yes,Cable,3,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,44.85,2572.95,12.07,0,0,2560.88,0,Attitude,Attitude of support person
3138-BKYAV,Male,61,No,0,Kerman,93630,36.727418,-120.123526,0,6,None,Yes,11.97,No,Yes,Fiber Optic,27,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,85.35,489.45,0,0,71.82,561.27,0,Attitude,Attitude of service provider
3143-ILDAL,Male,21,No,0,El Monte,91732,34.074492,-118.01462,0,56,None,Yes,25.41,Yes,Yes,Fiber Optic,51,No,Yes,No,Yes,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,94.45,5124.6,0,0,1422.96,6547.56,0,Attitude,Attitude of support person
3143-JQEGI,Female,52,Yes,0,San Diego,92126,32.886925,-117.152162,1,13,None,Yes,17.83,No,Yes,Fiber Optic,10,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,88.35,1222.8,0,0,231.79,1454.59,0,Competitor,Competitor made better offer
3144-AUDBS,Female,59,Yes,0,Calexico,92231,32.690654,-115.431225,1,6,Offer E,Yes,6.94,No,Yes,DSL,28,No,No,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,49.15,270.8,0,0,41.64,312.44,0,Competitor,Competitor had better devices
3148-BLQJT,Male,33,No,0,Fallbrook,92028,33.362575,-117.299644,0,1,Offer E,Yes,16.81,No,No,,,,,,,,,,,Month-to-Month,No,Credit Card,20.1,20.1,0,0,16.81,36.91,0,Competitor,Competitor made better offer
3158-MOERK,Female,57,No,0,Hayward,94545,37.62984,-122.120843,0,2,None,Yes,48.34,Yes,Yes,Fiber Optic,28,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,96,174.8,0,0,96.68,271.48,0,Competitor,Competitor offered more data
3164-AALRN,Male,39,No,0,Greenwood,95635,38.921333,-120.897718,0,5,None,Yes,45.25,No,Yes,DSL,22,No,No,Yes,No,Yes,Yes,Yes,No,One Year,Yes,Credit Card,70,347.4,0,10,226.25,583.65,0,Competitor,Competitor had better devices
3165-HDOEW,Male,47,Yes,0,Salida,95368,37.713152,-121.08739,1,1,None,Yes,14.9,No,Yes,DSL,6,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,45.85,45.85,0,0,14.9,60.75,0,Other,Don't know
3177-LASXD,Female,43,No,0,Westmorland,92281,33.03679,-115.60503,0,1,None,Yes,40.4,No,Yes,Cable,13,No,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,71.35,71.35,0,0,40.4,111.75,0,Dissatisfaction,Poor expertise of phone support
3178-FESZO,Female,45,No,0,Clements,95227,38.227285,-121.02789,0,1,Offer E,Yes,20.23,Yes,Yes,Fiber Optic,17,No,Yes,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,100.25,100.25,0,0,20.23,120.48,0,Other,Don't know
3186-BAXNB,Female,20,No,0,Cottonwood,96022,40.336392,-122.448533,0,1,Offer E,Yes,17.23,No,Yes,Fiber Optic,52,No,Yes,No,Yes,Yes,No,Yes,Yes,Month-to-Month,No,Bank Withdrawal,91.7,91.7,0,0,17.23,108.93,0,Attitude,Attitude of service provider
3190-XFANI,Male,42,No,0,Happy Camp,96039,41.831901,-123.487478,0,49,None,Yes,18.97,Yes,Yes,Fiber Optic,3,No,No,No,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,100.6,5069.65,0,0,929.53,5999.18,0,Competitor,Competitor offered more data
3192-NQECA,Male,26,Yes,0,Santa Monica,90403,34.031529,-118.491156,4,68,Offer A,Yes,14.79,Yes,Yes,Fiber Optic,47,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,110,7611.85,0,0,1005.72,8617.57,0,Competitor,Competitor had better devices
3194-ORPIK,Female,59,Yes,0,San Diego,92113,32.697098,-117.116587,1,50,None,Yes,35.33,Yes,Yes,Fiber Optic,17,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,84.4,4116.15,0,0,1766.5,5882.65,0,Competitor,Competitor had better devices
3198-VELRD,Female,47,Yes,0,Marina Del Rey,90292,33.977468,-118.445475,1,3,None,Yes,38.09,Yes,Yes,Fiber Optic,30,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,84.75,264.85,0,0,114.27,379.12,0,Competitor,Competitor had better devices
3207-OYBWH,Male,74,Yes,0,Newport Beach,92661,33.601309,-117.902304,1,57,None,Yes,49.91,Yes,Yes,Fiber Optic,21,No,Yes,Yes,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,95.25,5427.05,12.59,0,2844.87,8259.33,0,Attitude,Attitude of support person
3208-YPIOE,Male,64,No,0,La Mesa,91942,32.782501,-117.01611,0,39,Offer C,Yes,36.17,Yes,Yes,Fiber Optic,5,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,75.25,3017.65,0,0,1410.63,4428.28,0,Competitor,Competitor made better offer
3211-ILJTT,Male,35,Yes,0,Taft,93268,35.184837,-119.402525,1,17,None,Yes,13.68,No,Yes,Fiber Optic,11,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,70.4,1214.05,0,0,232.56,1446.61,0,Competitor,Competitor had better devices
3217-FZDMN,Female,66,No,0,Los Angeles,90001,33.973616,-118.24902,0,8,Offer E,Yes,5.21,No,Yes,Fiber Optic,8,No,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Credit Card,94.45,742.95,0,0,41.68,784.63,0,Competitor,Competitor had better devices
3223-WZWJM,Male,36,No,0,Petrolia,95558,40.274302,-124.210902,0,26,None,Yes,14.3,Yes,Yes,Fiber Optic,20,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,83.95,2254.2,0,0,371.8,2626,0,Competitor,Competitor offered higher download speeds
3230-WYKIR,Male,36,No,0,San Francisco,94110,37.750021,-122.415201,0,18,None,Yes,12.5,Yes,Yes,DSL,5,No,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Credit Card,82,1425.45,0,0,225,1650.45,0,Dissatisfaction,Product dissatisfaction
3235-ETOOB,Male,51,Yes,0,San Diego,92109,32.787836,-117.232376,1,8,None,Yes,47.91,No,Yes,Fiber Optic,23,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.5,609.9,0,0,383.28,993.18,0,Competitor,Competitor made better offer
3237-AJGEH,Female,43,Yes,1,Bridgeville,95526,40.372532,-123.525626,1,3,None,No,,,Yes,DSL,19,No,No,No,Yes,No,No,No,No,Month-to-Month,Yes,Credit Card,31,95.05,0,20,0,115.05,0,Dissatisfaction,Poor expertise of online support
3244-DCJWY,Female,27,No,0,Bakersfield,93312,35.392599,-119.245341,0,1,Offer E,Yes,23,No,Yes,Fiber Optic,59,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,70.25,70.25,0,0,23,93.25,0,Competitor,Competitor had better devices
3247-ZVOUO,Male,77,Yes,0,Downey,90240,33.956228,-118.120993,0,10,Offer D,Yes,6.01,Yes,Yes,Fiber Optic,27,No,No,No,No,No,Yes,No,Yes,Month-to-Month,No,Bank Withdrawal,85.55,851.75,0,0,60.1,911.85,0,Attitude,Attitude of support person
3249-ZPQRG,Male,28,No,0,Diamond Springs,95619,38.683605,-120.811852,0,4,Offer E,Yes,42.06,Yes,Yes,Fiber Optic,58,No,Yes,No,No,No,No,Yes,Yes,Month-to-Month,No,Bank Withdrawal,78.45,330.05,0,0,168.24,498.29,0,Competitor,Competitor made better offer
3254-YRILK,Male,74,No,0,Dobbins,95935,39.381174,-121.21191,0,19,Offer D,Yes,39.97,Yes,Yes,Fiber Optic,9,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,88.2,1775.8,0,0,759.43,2535.23,0,Competitor,Competitor had better devices
3259-FDWOY,Male,60,Yes,0,Elk Grove,95758,38.35363,-121.44195,3,71,Offer A,Yes,47.34,Yes,Yes,Fiber Optic,12,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,106,7723.7,0,0,3361.14,11084.84,0,Competitor,Competitor offered higher download speeds
3269-ATYWD,Male,79,No,0,San Francisco,94123,37.800254,-122.436975,0,39,Offer C,Yes,41.93,Yes,Yes,Fiber Optic,23,No,No,No,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,95.65,3759.05,0,150,1635.27,5544.32,0,Other,Don't know
3276-HDUEG,Female,23,No,0,Temecula,92592,33.507255,-117.029473,0,1,Offer E,Yes,32.86,Yes,Yes,Fiber Optic,58,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,75.05,75.05,0,0,32.86,107.91,0,Competitor,Competitor made better offer
3285-UCQVC,Female,31,No,0,Seaside,93955,36.625114,-121.823565,0,37,None,No,,,Yes,DSL,10,No,No,No,Yes,No,No,No,Yes,Month-to-Month,No,Credit Card,28.6,973.55,0,0,0,973.55,0,Other,Don't know
3296-SILRA,Female,76,Yes,0,Lakeport,95453,39.080469,-122.955176,6,1,None,Yes,41.16,No,Yes,Fiber Optic,6,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,76.4,76.4,0,0,41.16,117.56,0,Attitude,Attitude of support person
3313-QKNKB,Male,24,Yes,0,Pebble Beach,93953,36.587497,-121.944815,0,59,Offer B,Yes,6.91,Yes,Yes,Fiber Optic,52,No,No,No,No,No,Yes,Yes,Yes,One Year,No,Bank Withdrawal,85.55,5084.65,0,0,407.69,5492.34,0,Competitor,Competitor offered more data
3315-TOTBP,Male,29,No,0,Mill Creek,96061,40.331975,-121.460674,0,15,Offer D,Yes,44.86,Yes,Yes,Fiber Optic,52,No,No,No,No,No,No,Yes,Yes,Month-to-Month,Yes,Mailed Check,76,1130.85,0,0,672.9,1803.75,0,Dissatisfaction,Lack of self-service on Website
3317-HRTNN,Female,79,No,0,San Diego,92109,32.787836,-117.232376,0,5,None,No,,,Yes,DSL,15,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,No,Bank Withdrawal,45.7,198,0,0,0,198,0,Competitor,Competitor made better offer
3318-OSATS,Male,70,No,0,Sierra City,96125,39.600599,-120.636358,0,35,Offer C,Yes,35.1,Yes,Yes,Fiber Optic,29,No,No,No,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,95.45,3474.05,0,80,1228.5,4782.55,0,Other,Don't know
3319-DWOEP,Male,69,Yes,0,San Diego,92121,32.898613,-117.202937,0,6,Offer E,Yes,47.9,No,Yes,Fiber Optic,6,No,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,95.75,573.75,0,0,287.4,861.15,0,Competitor,Competitor made better offer
3325-FUYCG,Male,58,Yes,0,Five Points,93624,36.397745,-120.119911,1,28,Offer C,Yes,9.62,Yes,Yes,Fiber Optic,24,Yes,Yes,No,No,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,106.1,2847.4,0,0,269.36,3116.76,0,Dissatisfaction,Service dissatisfaction
3329-WDIOK,Female,56,No,0,Edwards,93523,34.966777,-117.961179,0,3,None,No,,,Yes,Cable,25,No,Yes,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,50.6,155.35,0,0,0,155.35,0,Dissatisfaction,Poor expertise of online support
3331-HQDTW,Female,23,No,0,San Diego,92130,32.957195,-117.202542,0,34,None,Yes,7.99,Yes,Yes,Fiber Optic,76,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,109.8,3587.25,0,0,271.66,3858.91,0,Competitor,Competitor made better offer
3334-CTHOL,Female,51,No,0,Jackson,95642,38.336216,-120.76901,0,1,None,Yes,43.49,Yes,Yes,Cable,4,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,49.95,49.95,0,0,43.49,93.44,0,Competitor,Competitor had better devices
3336-JORSO,Female,70,No,0,Hayward,94542,37.656695,-122.048361,0,33,Offer C,Yes,17.24,Yes,Yes,Fiber Optic,25,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,110.45,3655.45,0,70,568.92,4294.37,0,Dissatisfaction,Product dissatisfaction
